corte,t_pre,t_pos,n_municipios,beta,ep_ingenuo,p,ic_baixo,ic_alto,nivel
2016-01 / 2016-11,24192,24202,184,25.757640012971642,19.492246849938294,0.3705,-34.671293870068716,82.50767349150607,-7.8556568952517125
2016-07 / 2017-05,24198,24208,184,31.07270894584223,20.24272632642182,0.2385,-24.506159196595455,82.66396658305587,-7.882078709734299
2017-01 / 2017-11,24204,24214,184,12.963550701962939,23.49626541903485,0.608,-40.58874470189763,61.38662690519177,-12.925202326464255
