corte,t_pre,t_pos,n_municipios,beta,ep_ingenuo,p,ic_baixo,ic_alto,nivel
2016-01 / 2016-11,24192,24202,184,31.369237423421986,19.61375242869093,0.303,-31.757169063658424,94.98603072353175,17.610015087996683
2016-07 / 2017-05,24198,24208,184,33.86038236482985,19.065799516361924,0.259,-24.95122119269267,89.7666700092913,25.91875259922871
2017-01 / 2017-11,24204,24214,184,19.678352947215558,23.71983657680832,0.519,-43.57924626559334,77.69085053983224,20.358937090176944
