corte,t_pre,t_pos,n_municipios,beta,ep_ingenuo,p,ic_baixo,ic_alto,nivel
2016-01 / 2016-11,24192,24202,184,0.003305063223228622,0.004022239860045815,0.557,-0.0078408497587351,0.013983300166742828,0.0002202015347789305
2016-07 / 2017-05,24198,24208,184,0.003685918894326635,0.0036921690246354004,0.461,-0.0062875179376702135,0.01523388669300361,-0.00157382663847553
2017-01 / 2017-11,24204,24214,184,0.0018439490754645256,0.004873380385769261,0.732,-0.009666811553205016,0.013914901721002106,0.0002957730715914596
