faixa,n,dose_media,dy_medio,ep,desfecho
dose = 0,15,0.0,18.592680148900914,14.00626139368295,peso_medio
"dose > 0, faixa 1/3",56,0.0006798357172781136,-18.484546091939812,6.657480920010652,peso_medio
"dose > 0, faixa 2/3",56,0.0030859117840684666,-21.142738486910293,5.338550215103432,peso_medio
"dose > 0, faixa 3/3",57,0.14148825142033972,-10.689946061818207,5.856976645880157,peso_medio
