outcome,zero_definition,n_positive,n_zero,estimate,se_welch,df_welch,ci95_welch_low,ci95_welch_high,p_two_sided_welch,p_weight_increase_welch,p_fetal_decrease_welch,variance_share_controls,ols_slope,change_positive,change_zero,original_method_nivel,original_method_ep_welch,original_method_p_welch,original_method_p_wcb,original_method_p_perm,original_method_jack_min,original_method_jack_max,original_method_jack_cod_min,original_method_jack_cod_max,original_method_n_tratados,original_method_n_controles,p_two_sided_welch_holm_family2,p_directional_welch_holm_family2
peso_medio,1,169,15,-35.329099450316555,14.423924644702907,15.7412904322027,-65.94734754751876,-4.7108513531143466,0.026420836854859533,0.9867895815725702,0.013210418427429767,0.9429258993776539,6.807527296377357,-16.73641930141564,18.592680148900914,-35.329099450316555,14.423924644702907,0.01431181732119107,0.0225,0.024,-41.70147962370268,-28.871078551365827,230445,230490,169,15,0.05284167370971907,1.0
peso_medio,4,169,14,-36.19236865852589,15.406834244275627,14.402072274399735,-69.15040327528655,-3.234334041765237,0.03356519389000004,0.9832174030549999,0.01678259694500002,0.9499759158978581,7.12010619014463,-16.73641930141564,19.455949357110253,-36.19236865852589,15.406834244275627,0.018818279984500405,0.0375,0.034,-43.1213372458809,-29.30398224490275,230445,230490,169,14,0.06713038778000008,1.0
taxa_obito_fetal,1,169,15,0.00026541373459647603,0.0019447651334315327,15.329522463143451,-0.0038720077827524044,0.004402835251945356,0.8932212223886459,0.44661061119432294,0.5533893888056771,0.955565761464165,-0.0024353606088391407,-0.0006389615685341675,-0.0009043753031306435,0.00026541373459647603,0.0019447651334315327,0.8914450091496857,0.8925,0.892,-0.0008091514454147509,0.0010806915158567817,231123,230150,169,15,0.8932212223886459,1.0
taxa_obito_fetal,4,169,14,0.0001764770220460941,0.0020806233311233082,14.069538758982912,-0.004283947884678315,0.004636901928770504,0.9336001784279391,0.46680008921396954,0.5331999107860305,0.9611791416900363,-0.0024595332249841492,-0.0006389615685341675,-0.0008154385905802616,0.0001764770220460941,0.0020806233311233082,0.9324050467711485,0.934,0.936,-0.000987588303546795,0.0010476271932071631,231123,230150,169,14,0.9336001784279391,1.0
