outcome,zero_definition,kind,pre_end,post_start,post_end,post_months,post_cells_after_policy,n_positive,n_zero,estimate,se_welch,df_welch,ci95_welch_low,ci95_welch_high,p_two_sided_welch,p_weight_increase_welch,p_fetal_decrease_welch,variance_share_controls,ols_slope,change_positive,change_zero,p_two_sided_welch_holm_family3
peso_medio,1,original_includes_2019_2022,2016-01,2016-11,2022-12,74,8832,169,15,-7.8556568952517125,19.571321664845033,15.066661417876244,-49.554872127828936,33.84355833732551,0.6937712714872566,0.6531143642563717,0.3468856357436283,0.9638958646112745,25.757640012971642,-16.614679075569562,-8.75902218031785,1.0
peso_medio,1,corrected_pre_only,2016-01,2016-11,2018-12,26,0,169,15,17.610015087996683,21.35475861292896,15.028244455606734,-27.899125869930376,63.119156045923745,0.4224717280220108,0.2112358640110054,0.7887641359889946,0.9651310185741766,31.369237423421986,-7.2125483305465545,-24.822563418543236,0.720263365402363
peso_medio,1,original_includes_2019_2022,2016-07,2017-05,2022-12,68,8832,169,15,-7.882078709734299,16.940225542176933,15.227304954081157,-43.94242701356006,28.178269594091457,0.64831014395648,0.67584492802176,0.32415507197824,0.9587801885003823,31.07270894584223,-9.75590117304259,-1.8738224633082912,1.0
peso_medio,1,corrected_pre_only,2016-07,2017-05,2018-12,20,0,169,15,25.91875259922871,18.266235707416833,15.271667171116713,-12.954571565797366,64.79207676425479,0.17600237349771503,0.08800118674885751,0.9119988132511425,0.9573812904726116,33.86038236482985,4.465750604542476,-21.453001994686232,0.5280071204931451
peso_medio,1,original_includes_2019_2022,2017-01,2017-11,2022-12,62,8832,169,15,-12.925202326464255,17.782517392152027,15.075187358457173,-50.811282884847074,24.960878231918567,0.4784543746341413,0.7607728126829294,0.23922718731707066,0.9636223659814247,12.963550701962939,-7.535769590515389,5.389432735948867,1.0
peso_medio,1,corrected_pre_only,2017-01,2017-11,2018-12,14,0,169,15,20.358937090176944,21.567631929339303,15.017132649374389,-25.606814687509008,66.3246888678629,0.3601316827011815,0.18006584135059076,0.8199341586494092,0.9654891340843806,19.678352947215558,9.77181653508078,-10.587120555096165,0.720263365402363
peso_medio,4,original_includes_2019_2022,2016-01,2016-11,2022-12,74,8784,169,14,-6.4675466403688535,20.919237211451513,13.86114836578721,-51.377050598189214,38.44195731745151,0.7617925551632305,0.6191037224183847,0.38089627758161526,0.9683986548252107,26.178163213759472,-16.614679075569562,-10.147132435200708,1.0
peso_medio,4,corrected_pre_only,2016-01,2016-11,2018-12,26,0,169,14,20.094004675514213,22.729226124398338,13.837707157936578,-28.709030796031854,68.89704014706028,0.3917654340837288,0.1958827170418644,0.8041172829581356,0.9692206605031537,31.67187917354748,-7.2125483305465545,-27.306553006060767,0.7330759240615344
peso_medio,4,original_includes_2019_2022,2016-07,2017-05,2022-12,68,8784,169,14,-6.887026481015179,18.115142170772497,13.988914875449371,-45.74303088130343,31.968977919273076,0.7095214062946185,0.6452392968526908,0.35476070314730923,0.9639536841140396,31.413996542019518,-9.75590117304259,-2.8688746920274104,1.0
peso_medio,4,corrected_pre_only,2016-07,2017-05,2018-12,20,0,169,14,28.12885272534141,19.420691667438014,14.036956870287597,-13.514102141865386,69.77180759254821,0.1694743234351501,0.08473716171757505,0.9152628382824249,0.9622975976439815,33.99132315523354,4.465750604542476,-23.663102120798936,0.5084229703054503
