n,desfecho,exposicao,hipotese,direcao,beta,sinal_bate,ep_ingenuo,p_uni,p_rnd,p_wcb,n_municipios,p_uni_holm,p_rnd_holm,p_wcb_holm
1,peso_medio,share_gestacao_pos_ban,ACR(d) > 0 — remover a exposição aumenta o peso ao nascer,1,6.807527296377357,True,20.204425750267305,0.394,0.7935,0.757,184,0.427,0.866,0.757
2,taxa_obito_fetal,share_gestacao_pos_ban,ACR(d) < 0 — o ban reduz o óbito fetal,-1,-0.0024353606088391407,True,0.0017094947687361906,0.2135,0.433,0.19,184,0.427,0.866,0.38
