Mbar,lb,ub,largura,desfecho,n_tratados,n_controles,n_pre,n_pos,ic_orig_lb,ic_orig_ub
0,-72.4672971028636,24.4889486761401,96.9562457790037,peso_medio,17,14,3,4,-72.9151280648375,24.9409126842644
0.25,-93.4578245395551,47.4785739639451,140.9363985035,peso_medio,17,14,3,4,-72.9151280648375,24.9409126842644
0.5,-130.441134785154,79.4641395817608,209.905274366915,peso_medio,17,14,3,4,-72.9151280648375,24.9409126842644
0.75,-173.421738584094,117.446998752917,290.868737337011,peso_medio,17,14,3,4,-72.9151280648375,24.9409126842644
1,-217.401891308591,161.427151477413,378.829042786004,peso_medio,17,14,3,4,-72.9151280648375,24.9409126842644
1.5,-306.361745683141,249.387456926406,555.749202609547,peso_medio,17,14,3,4,-72.9151280648375,24.9409126842644
2,-395.32160005769,339.346860226513,734.668460284203,peso_medio,17,14,3,4,-72.9151280648375,24.9409126842644
