label,n_t,n_c,estimate,change_t,change_c,se_welch,df_welch,ci_normal_low,ci_normal_high,ci_welch_low,ci_welch_high,mde80_normal
top_zero4,17,14,18.581378472676388,0.15662438206808313,-18.424754090608303,21.09220845599493,16.89173350472354,-22.759350101073668,59.92210704642645,-25.941028721361672,63.103785666714444,59.058183676785795
positive_zero4,169,14,21.27089656153817,2.8461424709298653,-18.424754090608303,19.964434903470178,13.80647547754979,-17.859395849263375,60.40118897233971,-21.604934548980776,64.14672767205711,55.900417729716494
positive_zero1,169,15,19.626263293747648,2.8461424709298653,-16.780120822817782,18.700722424038076,14.995975692174119,-17.027152657366983,56.27967924486228,-20.23431468973895,59.48684127723425,52.362022787306614
