file,n,mean_est,min_est,max_est,significant_negative,significant_positive,min_dose_significant,max_dose_significant,critical,unique_crit
cgs_curva_level__peso_medio__d0-1.csv,169,-35.329099450316626,-58.228992490926,-10.4728446761355,132,0,0.0004713028906577,0.667364893171345,4.69643031640243,1
cgs_curva_level__peso_medio__d0-4.csv,169,-36.19236865852596,-59.0922616991353,-11.3361138843448,133,0,0.0004189359028068,0.667364893171345,4.38440471903122,1
cgs_curva_level__taxa_obito_fetal__d0-4.csv,169,0.00017647702204608856,-0.0035591416693237,0.0039638874385703,1,0,1.0,1.0,6.78690025704549,1
cgs_curva_slope__peso_medio__d0-1.csv,169,-2946.760531400813,-15749.7224894202,404.389806125157,0,0,,,4.38865781915977,1
cgs_curva_slope__peso_medio__d0-4.csv,169,-2946.760531400817,-15749.7224894203,404.389806125157,0,0,,,4.34483802625907,1
cgs_curva_slope__taxa_obito_fetal__d0-4.csv,169,-0.5208765226783441,-55.504638487133,18.7282994015578,0,0,,,6.34803400438461,1
