tempo_evento,estimativa,erro_padrao,valor_critico,ic_inf,ic_sup,meia_largura,pre,desfecho,exposicao,fonte
-47,-0.00520847170370863,0.00600578216252514,2.77502955219402,-0.0218746946887556,0.0114577512813384,0.016666222985047,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-46,0.00935878499363469,0.0048888038368017,2.77502955219402,-0.00420779012836956,0.0229253601156389,0.0135665751220042,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-45,-0.00750681582745703,0.00735072266776548,2.77502955219402,-0.0279052884604887,0.0128916568055747,0.0203984726330317,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-44,0.000516962879909263,0.00593493189661349,2.77502955219402,-0.0159526485234521,0.0169865742832706,0.0164696114033614,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-43,-0.00617478173609169,0.00535880748021197,2.77502955219402,-0.0210456308581983,0.00869606738601492,0.0148708491221066,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-42,0.00676139893344896,0.00532700839392997,2.77502955219402,-0.00802120678449233,0.0215440046513902,0.0147826057179413,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-41,-0.00584787191436868,0.00471324667747026,2.77502955219402,-0.0189272707311289,0.00723152690239159,0.0130793988167603,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-40,0.00615280472547931,0.00774900284147781,2.77502955219402,-0.0153509071596571,0.0276565166106157,0.0215037118851364,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-39,-0.00644098109038903,0.00718578533165216,2.77502955219402,-0.0263817477414461,0.0134997855606681,0.0199407666510571,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-38,0.000890650472188765,0.00547375163003878,2.77502955219402,-0.0142991720625391,0.0160804730069166,0.0151898225347278,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-37,0.00222496430382828,0.00362710409076012,2.77502955219402,-0.00784035673691489,0.0122902853445714,0.0100653210407432,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-36,0.00388395887648653,0.00839659960978467,2.77502955219402,-0.0194168531786067,0.0271847709315798,0.0233008120550933,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-35,0.00176936816390342,0.00880165815085706,2.77502955219402,-0.0226554933130343,0.0261942296408412,0.0244248614769378,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-34,0.000705108294139026,0.00638888990546545,2.77502955219402,-0.0170242499992417,0.0184344665875197,0.0177293582933807,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-33,-0.00963175194947456,0.00602378413768683,2.77502955219402,-0.0263479309475931,0.00708442704864399,0.0167161789981185,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-32,0.00117206423628922,0.00678670183852914,2.77502955219402,-0.0176612339275587,0.0200053624001371,0.0188332981638479,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-31,0.00217178409343467,0.00779341678720464,2.77502955219402,-0.0194551778036232,0.0237987459904926,0.0216269618970579,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
