estimador,tau,ep_jackknife,ep_bootstrap,ic_baixo,ic_alto,desfecho,n_tratados,n_doadores,t_pre,t_pos,escopo
synthdid,-20.1628880415545,18.5029798156573,21.1616582250459,-56.4287284802428,16.1029523971337,peso_medio,17,14,4,4,intraestadual
sc,-34.6405420211612,16.7298394896826,23.2728134637734,-67.4310274209391,-1.85005662138327,peso_medio,17,14,4,4,intraestadual
did,-21.8518183545047,19.2286824685491,19.46049647878,-59.540035992861,15.8363992838516,peso_medio,17,14,4,4,intraestadual
