tempo_evento,estimativa,erro_padrao,valor_critico,ic_inf,ic_sup,meia_largura,pre,desfecho,exposicao,fonte
-47,-25.4814123574304,33.774896017301,2.90478097748267,-123.590087824941,72.6272631100807,98.108675467511,TRUE,peso_medio,share_gestacao_pos_ban,real
-46,-2.25124154970432,27.1522855378556,2.90478097748267,-81.1226840752452,76.6202009758366,78.8714425255409,TRUE,peso_medio,share_gestacao_pos_ban,real
-45,13.9659930863139,24.8726093656509,2.90478097748267,-58.2834894593862,86.215475632014,72.2494825457001,TRUE,peso_medio,share_gestacao_pos_ban,real
-44,6.04513844031129,28.9186314947691,2.90478097748267,-77.9571522205253,90.0474291011479,84.0022906608366,TRUE,peso_medio,share_gestacao_pos_ban,real
-43,-48.1052327192745,34.6746956233473,2.90478097748267,-148.827628965975,52.6171635274263,100.722396246701,TRUE,peso_medio,share_gestacao_pos_ban,real
-42,55.384830186938,21.2746113557182,2.90478097748267,-6.41325618248903,117.182916556365,61.798086369427,TRUE,peso_medio,share_gestacao_pos_ban,real
-41,-10.1342601310304,29.5806167846042,2.90478097748267,-96.0594730691533,75.7909528070925,85.9252129381229,TRUE,peso_medio,share_gestacao_pos_ban,real
-40,12.4246037096966,26.4640716088753,2.90478097748267,-64.4477280865035,89.2969355058967,76.8723317962001,TRUE,peso_medio,share_gestacao_pos_ban,real
-39,-30.8318513748279,29.9152152462984,2.90478097748267,-117.728999559575,56.0652968099192,86.8971481847471,TRUE,peso_medio,share_gestacao_pos_ban,real
-38,16.936003255843,26.3275199204549,2.90478097748267,-59.5396757933903,93.4116823050764,76.4756790492334,TRUE,peso_medio,share_gestacao_pos_ban,real
-37,13.2402052429583,28.7949666900913,2.90478097748267,-70.4028662456659,96.8832767315826,83.6430714886243,TRUE,peso_medio,share_gestacao_pos_ban,real
-36,10.699161744281,39.5712901944216,2.90478097748267,-104.246769266922,125.645092755483,114.945931011202,TRUE,peso_medio,share_gestacao_pos_ban,real
-35,-48.2661672815875,26.7736891314121,2.90478097748267,-126.037870167548,29.5055356043729,77.7717028859604,TRUE,peso_medio,share_gestacao_pos_ban,real
-34,34.2393132598975,32.6830670935994,2.90478097748267,-60.6978383193799,129.176464839175,94.9371515792774,TRUE,peso_medio,share_gestacao_pos_ban,real
-33,-31.7835494496703,43.8140598799273,2.90478097748267,-159.05379713517,95.4866982358291,127.270247685499,TRUE,peso_medio,share_gestacao_pos_ban,real
-32,12.2882363855044,22.1077048023316,2.90478097748267,-51.9298039801108,76.5062767511197,64.2180403656152,TRUE,peso_medio,share_gestacao_pos_ban,real
-31,0.993607136707894,32.9260750312057,2.90478097748267,-94.6494292771056,96.6366435505213,95.6430364138135,TRUE,peso_medio,share_gestacao_pos_ban,real
-30,4.79478739571954,18.8508287495442,2.90478097748267,-49.96274136574,59.5523161571791,54.7575287614596,TRUE,peso_medio,share_gestacao_pos_ban,real
-29,11.08258059221,26.5208102094491,2.90478097748267,-65.9545644116258,88.1197255960458,77.0371450038358,TRUE,peso_medio,share_gestacao_pos_ban,real
-28,-4.39592168370483,41.1855384647077,2.90478097748267,-124.030890363369,115.239046995959,119.634968679664,TRUE,peso_medio,share_gestacao_pos_ban,real
-27,39.8744723515078,35.4972030686519,2.90478097748267,-63.2371278761518,142.986072579167,103.11160022766,TRUE,peso_medio,share_gestacao_pos_ban,real
-26,-20.0325192769723,34.3458336650431,2.90478097748267,-119.799643562973,79.7346050090289,99.7671242860011,TRUE,peso_medio,share_gestacao_pos_ban,real
-25,44.6160153063095,26.6146844177352,2.90478097748267,-32.6938137120322,121.925844324651,77.3098290183417,TRUE,peso_medio,share_gestacao_pos_ban,real
-24,-68.7053851962764,41.4034302530213,2.90478097748267,-188.973281797783,51.5625114052304,120.267896601507,TRUE,peso_medio,share_gestacao_pos_ban,real
-23,27.8407125450634,47.9881702866735,2.90478097748267,-111.554411647865,167.235836737992,139.395124192928,TRUE,peso_medio,share_gestacao_pos_ban,real
-22,-18.1487420262371,22.4007351991533,2.90478097748267,-83.2179715143641,46.9204874618898,65.0692294881269,TRUE,peso_medio,share_gestacao_pos_ban,real
-21,-35.1647582895483,46.7530426601371,2.90478097748267,-170.97210724815,100.642590669054,135.807348958602,TRUE,peso_medio,share_gestacao_pos_ban,real
-20,44.1754243108074,25.0531430738313,2.90478097748267,-28.5984691162094,116.949317737824,72.7738934270168,TRUE,peso_medio,share_gestacao_pos_ban,real
-19,-16.6517577658536,29.5575109557898,2.90478097748267,-102.509853331967,69.2063378002602,85.8580955661138,TRUE,peso_medio,share_gestacao_pos_ban,real
-18,1.96414346421939,31.9072511123944,2.90478097748267,-90.7194326108266,94.6477195392654,92.683576075046,TRUE,peso_medio,share_gestacao_pos_ban,real
-17,2.21767890629823,30.4300867755284,2.90478097748267,-86.1750583024036,90.6104161150001,88.3927372087018,TRUE,peso_medio,share_gestacao_pos_ban,real
