dose,estimativa,erro_padrao,valor_critico,ic_inf,ic_sup,meia_largura,alvo,desfecho,exposicao,fonte
5.23669878508588e-05,-29.6208314976775,13.4233945316369,4.38440471903122,-88.4744258276042,29.2327628322492,58.8535943299267,level,peso_medio,share_gestacao_pos_ban,real
0.000157100963552576,-31.1952560719892,11.523346889159,4.38440471903122,-81.7182725518518,19.3277604078733,50.5230164798625,level,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-31.9274385819439,10.6515089591819,4.38440471903122,-78.6279647273845,14.7730875634966,46.7005261454405,level,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-31.9274385819439,10.6515089591819,4.38440471903122,-78.6279647273845,14.7730875634966,46.7005261454405,level,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-31.9274385819439,10.6515089591819,4.38440471903122,-78.6279647273845,14.7730875634966,46.7005261454405,level,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-31.9274385819439,10.6515089591819,4.38440471903122,-78.6279647273845,14.7730875634966,46.7005261454405,level,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-31.9274385819439,10.6515089591819,4.38440471903122,-78.6279647273845,14.7730875634966,46.7005261454405,level,peso_medio,share_gestacao_pos_ban,real
0.000261834939254294,-32.6240902017217,9.83158984828749,4.38440471903122,-75.7297591281328,10.4815787246893,43.1056689264111,level,peso_medio,share_gestacao_pos_ban,real
0.000314201927105153,-33.2860776522905,9.06362412429138,4.38440471903122,-73.0246740343588,6.45251872977777,39.7385963820683,level,peso_medio,share_gestacao_pos_ban,real
0.000366568914956012,-33.9142676546182,8.34781728756527,4.38440471903122,-70.5144771638297,2.68594185459335,36.6002095092115,level,peso_medio,share_gestacao_pos_ban,real
0.000366568914956012,-33.9142676546182,8.34781728756527,4.38440471903122,-70.5144771638297,2.68594185459335,36.6002095092115,level,peso_medio,share_gestacao_pos_ban,real
0.000366568914956012,-33.9142676546182,8.34781728756527,4.38440471903122,-70.5144771638297,2.68594185459335,36.6002095092115,level,peso_medio,share_gestacao_pos_ban,real
0.000418935902806871,-34.5095269296727,7.68455670854203,4.38440471903122,-68.2017336262673,-0.817320233078064,33.6922066965946,level,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-35.0727221984219,7.07441083526809,4.38440471903122,-66.0898024489369,-4.05564194790697,31.017080250515,level,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-35.0727221984219,7.07441083526809,4.38440471903122,-66.0898024489369,-4.05564194790697,31.017080250515,level,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-35.0727221984219,7.07441083526809,4.38440471903122,-66.0898024489369,-4.05564194790697,31.017080250515,level,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-35.0727221984219,7.07441083526809,4.38440471903122,-66.0898024489369,-4.05564194790697,31.017080250515,level,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-35.0727221984219,7.07441083526809,4.38440471903122,-66.0898024489369,-4.05564194790697,31.017080250515,level,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-35.0727221984219,7.07441083526809,4.38440471903122,-66.0898024489369,-4.05564194790697,31.017080250515,level,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-35.0727221984219,7.07441083526809,4.38440471903122,-66.0898024489369,-4.05564194790697,31.017080250515,level,peso_medio,share_gestacao_pos_ban,real
0.000523669878508588,-35.6047201818338,6.51810742042851,4.38440471903122,-64.1827411151129,-7.02669924855465,28.5780209332791,level,peso_medio,share_gestacao_pos_ban,real
0.000523669878508588,-35.6047201818338,6.51810742042851,4.38440471903122,-64.1827411151129,-7.02669924855465,28.5780209332791,level,peso_medio,share_gestacao_pos_ban,real
