dose,estimativa,erro_padrao,valor_critico,ic_inf,ic_sup,meia_largura,alvo,desfecho,exposicao,fonte
5.23669878508588e-05,-15749.7224894203,20023.9614322389,4.34483802625907,-102750.591556557,71251.1465777162,87000.8690671364,slope,peso_medio,share_gestacao_pos_ban,real
0.000157100963552576,-14326.5231173715,18241.8751873052,4.34483802625907,-93584.5161014471,64931.4698667041,79257.9929840756,slope,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-13639.7497867518,17381.9178265375,4.34483802625907,-89161.3673288023,61881.8677552987,75521.6175420505,slope,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-13639.7497867518,17381.9178265375,4.34483802625907,-89161.3673288023,61881.8677552987,75521.6175420505,slope,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-13639.7497867518,17381.9178265375,4.34483802625907,-89161.3673288023,61881.8677552987,75521.6175420505,slope,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-13639.7497867518,17381.9178265375,4.34483802625907,-89161.3673288023,61881.8677552987,75521.6175420505,slope,peso_medio,share_gestacao_pos_ban,real
0.000209467951403435,-13639.7497867518,17381.9178265375,4.34483802625907,-89161.3673288023,61881.8677552987,75521.6175420505,slope,peso_medio,share_gestacao_pos_ban,real
0.000261834939254294,-12969.5273597352,16542.6844833213,4.34483802625907,-84844.8119592757,58905.7572398052,71875.2845995405,slope,peso_medio,share_gestacao_pos_ban,real
0.000314201927105153,-12315.8558363218,15724.1753115331,4.34483802625907,-80634.8506614347,56003.1389887912,68318.9948251129,slope,peso_medio,share_gestacao_pos_ban,real
0.000366568914956012,-11678.7352165114,14926.3904856258,4.34483802625907,-76531.4841932499,53174.0137602271,64852.7489767385,slope,peso_medio,share_gestacao_pos_ban,real
0.000366568914956012,-11678.7352165114,14926.3904856258,4.34483802625907,-76531.4841932499,53174.0137602271,64852.7489767385,slope,peso_medio,share_gestacao_pos_ban,real
0.000366568914956012,-11678.7352165114,14926.3904856258,4.34483802625907,-76531.4841932499,53174.0137602271,64852.7489767385,slope,peso_medio,share_gestacao_pos_ban,real
0.000418935902806871,-11058.1655003042,14149.3302040261,4.34483802625907,-72534.7134168527,50418.3824162444,61476.5479165486,slope,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-10454.1466877,13392.9946932036,4.34483802625907,-68644.5393162168,47736.2459408167,58190.3926285167,slope,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-10454.1466877,13392.9946932036,4.34483802625907,-68644.5393162168,47736.2459408167,58190.3926285167,slope,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-10454.1466877,13392.9946932036,4.34483802625907,-68644.5393162168,47736.2459408167,58190.3926285167,slope,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-10454.1466877,13392.9946932036,4.34483802625907,-68644.5393162168,47736.2459408167,58190.3926285167,slope,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-10454.1466877,13392.9946932036,4.34483802625907,-68644.5393162168,47736.2459408167,58190.3926285167,slope,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-10454.1466877,13392.9946932036,4.34483802625907,-68644.5393162168,47736.2459408167,58190.3926285167,slope,peso_medio,share_gestacao_pos_ban,real
0.000471302890657729,-10454.1466877,13392.9946932036,4.34483802625907,-68644.5393162168,47736.2459408167,58190.3926285167,slope,peso_medio,share_gestacao_pos_ban,real
0.000523669878508588,-9866.67877869904,12657.3842125708,4.34483802625907,-64860.9630184479,45127.6054610498,54994.2842397489,slope,peso_medio,share_gestacao_pos_ban,real
0.000523669878508588,-9866.67877869904,12657.3842125708,4.34483802625907,-64860.9630184479,45127.6054610498,54994.2842397489,slope,peso_medio,share_gestacao_pos_ban,real
0.000628403854210306,-8741.39567150636,11248.3395811044,4.34483802625907,-57613.6092157637,40130.817872751,48872.2135442574,slope,peso_medio,share_gestacao_pos_ban,real
0.000628403854210306,-8741.39567150636,11248.3395811044,4.34483802625907,-57613.6092157637,40130.817872751,48872.2135442574,slope,peso_medio,share_gestacao_pos_ban,real
